project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date
james,PR-2963,master,3,7383,1772775679,SUCCESS,f3cc4fa335b08abbc8705c60a4aa44f5fba51ce4,28963.621,43386,0,304,2026-03-05
james,PR-2964,master,3,7495,1772792974,SUCCESS,191fedb2ec7b01068a79c9b7042584136038d897,27574.764,43401,0,304,2026-03-06
james,PR-2967,master,1,19562,1772804739,SUCCESS,4a23678920342b8e5a38845fd00b9c626c1d3331,28582.344,43401,0,304,2026-03-06
james,PR-2965,master,2,7517,1772829223,SUCCESS,cfbef0a89a89c8e67ebb6fa8e837401fd4e93acd,28678.61,43410,0,304,2026-03-06
james,PR-2968,master,1,5683,1773048111,FAILURE,695b34389c0267cce8051939c2391a8f671bab0a,8071.9897,26373,7,229,2026-03-09
james,PR-2967,master,2,36032,1773060514,ABORTED,a14941666c1c29da6ef234fb3b50bf974c52e201,18707.934,38012,0,247,2026-03-09
james,PR-2969,3.9.x,1,7095,1773066075,SUCCESS,c6e12dea36c136ce6718171c1ff6a5c302f46378,28742.562,43298,0,300,2026-03-09
james,PR-2970,3.8.x,1,10625,1773066170,FAILURE,2d53fd5c613c38c53a086c50fb4b076c508f4711,9439.621,35610,2,240,2026-03-09
james,PR-2970,3.8.x,2,22051,1773109301,FAILURE,2d53fd5c613c38c53a086c50fb4b076c508f4711,10960.457,35905,11,239,2026-03-09
james,PR-2971,3.7.x,2,2457,1773110913,FAILURE,c7643bb2958ecbf5eb94d70f9f2320da7f28c2be,1493.214,28877,54,178,2026-03-09
james,PR-2968,master,2,17103,1773111469,SUCCESS,c129fda97e1a4419e378618e8139c3c9d26fbc3f,26441.998,43538,0,304,2026-03-09
james,PR-2972,master,1,12255,1773122160,FAILURE,584b107368d176dc33e4248032b300393619faaf,17186.6,37574,2,269,2026-03-10
james,PR-2973,master,2,10485,1773133046,FAILURE,80ab61075c59496bfcf1cf1f8b750dfe66c05084,19957.145,39727,2,278,2026-03-10
james,PR-2972,master,2,16587,1773137466,SUCCESS,9dd0b1238f09a5dcf0a8de0df7f10369037aacc8,24904.303,43401,0,304,2026-03-10
james,PR-2971,3.7.x,4,751,1773139910,FAILURE,74a048768ee7bda427d85ae39c2d9b5a34296f42,51.194,1119,0,2,2026-03-10
james,PR-2970,3.8.x,3,16200,1773140911,FAILURE,2d53fd5c613c38c53a086c50fb4b076c508f4711,15587.04,38290,4,253,2026-03-10
james,PR-2971,3.7.x,5,687,1773159270,FAILURE,74a048768ee7bda427d85ae39c2d9b5a34296f42,46.963997,1119,0,2,2026-03-10
