Base.run,shutdown
MainActivity.updateRPCPrefs,findViewById
MainActivity.updateRPCPrefs,getText
MainActivity.updateRPCPrefs,toString
MainActivity.updateRPCPrefs,parseInt
MainActivity.updateRPCPrefs,isChecked
MainActivity.updateRPCPrefs,getApplicationContext
MainActivity.updateRPCPrefs,getSharedPreferences
MainActivity.updateRPCPrefs,edit
MainActivity.updateRPCPrefs,putString
MainActivity.updateRPCPrefs,putBoolean
MainActivity.updateRPCPrefs,commit
MainActivity.updateRPCPrefs,putExtra
MainActivity.setupRelaunch,findViewById
MainActivity.setupRelaunch,isChecked
MainActivity.setupRelaunch,println
MainActivity.setupRelaunch,startActivity
MainActivity.setupRelaunch,getMainLooper
MainActivity.setupRelaunch,postDelayed
MainActivity.run,isChecked
MainActivity.run,println
MainActivity.run,startActivity
MainActivity.onCreate,setContentView
MainActivity.onCreate,findViewById
MainActivity.onCreate,setSupportActionBar
MainActivity.onCreate,setOnCheckedChangeListener
MainActivity.onCreate,println
MainActivity.onCreate,updateRPCPrefs
MainActivity.onCreate,setupRelaunch
MainActivity.onCreate,enableInputView
MainActivity.onCheckedChanged,println
MainActivity.onCheckedChanged,updateRPCPrefs
MainActivity.onCheckedChanged,setupRelaunch
MainActivity.onResume,println
MainActivity.onResume,enableInputView
MainActivity.onResume,setupRelaunch
MainActivity.enableInputView,findViewById
MainActivity.enableInputView,setEnabled
MainActivity.enableInputView,getApplicationContext
MainActivity.enableInputView,getSharedPreferences
MainActivity.enableInputView,getString
MainActivity.enableInputView,setText
MainActivity.enableInputView,getBoolean
MainActivity.enableInputView,setChecked
RPCProcessor.run,start
RPCProcessor.run,wait
RPCProcessor.run,printStackTrace
RPCProcessor.run,exit
RPCProcessor.run,run
RPCProcessor.run,finishTimeout
RPCProcessor.disconnect,terminate
RPCProcessor.connect,notify
RPCAndroidWatchdog.terminate,finish
RPCActivity.onCreate,setContentView
RPCActivity.onCreate,findViewById
RPCActivity.onCreate,setOnClickListener
RPCActivity.onCreate,println
RPCActivity.onCreate,disconnect
RPCActivity.onCreate,finish
RPCActivity.onCreate,exit
RPCActivity.onCreate,getIntent
RPCActivity.onCreate,getStringExtra
RPCActivity.onCreate,getIntExtra
RPCActivity.onCreate,setDaemon
RPCActivity.onCreate,start
RPCActivity.onCreate,connect
RPCActivity.onClick,println
RPCActivity.onClick,disconnect
RPCActivity.onClick,finish
RPCActivity.onClick,exit
RPCActivity.onDestroy,println
RPCActivity.onDestroy,disconnect
RPCActivity.onDestroy,killProcess
RPCActivity.onDestroy,myPid
